index,시도,idx,name,address,latitude,longitude,input_wastes
575,서울특별시,884,관악청년청,"서울특별시 관악구 봉천동 912-26""",37.4821959892197,126.9456394164233,['투명 페트']
586,서울특별시,896,연희동주민센터,"서울특별시 서대문구 연희로 189""",37.57381587421904,126.93526309578203,['투명 페트']
571,서울특별시,879,성내1동주민센터,"서울특별시 강동구 성내로 13""",37.530389409387645,127.12237863258537,['투명 페트']
570,서울특별시,878,천호청소년문화의집,"서울특별시 강동구 천호동 308-9""",37.54518162925066,127.12868306536748,['투명 페트']
569,서울특별시,877,상일1동주민센터,"서울특별시 강동구 상일동 513-2""",37.550575923629175,127.1684163966396,['투명 페트']
568,서울특별시,876,길동제2자치회관,"서울특별시 강동구 명일로 229-1""",37.539237071751685,127.14628162593294,['투명 페트']
587,서울특별시,897,충현동주민센터,"서울특별시 서대문구 북아현로22길 38""",37.56482401410726,126.95476742953716,['투명 페트']
343,서울특별시,633,샘터어린이공원,"서울특별시 중랑구 면목동 656""",37.57309691972189,127.08334919802384,['투명 페트']
20,서울특별시,37,망우역,"서울특별시 중랑구 상봉동 500-1""",37.59844863797278,127.092379924489,"['캔', '투명 페트']"
344,서울특별시,634,면목2동 주민센터,"서울특별시 중랑구 면목동 180-8""",37.58967587857626,127.07908777233123,['투명 페트']
588,서울특별시,898,중앙소공원,"서울특별시 서대문구 홍은동 9-498""",37.598772724283485,126.9475675370066,['투명 페트']
589,서울특별시,899,홍제3동주민센터,"서울특별시 서대문구 세검정로4길 32""",37.59376191825137,126.94977057171717,['투명 페트']
590,서울특별시,900,남가좌2동주민센터,"서울특별시 서대문구 남가좌동 319-23""",37.5785144830211,126.92381367487594,['투명 페트']
565,서울특별시,872,화곡4동주민센터,"서울특별시 강서구 곰달래로57가길 26""",37.53470669016544,126.86066848011164,['투명 페트']
564,서울특별시,871,곰달래문화복지센터,"서울특별시 강서구 강서로5길 50""",37.52906336214981,126.84901209687676,['투명 페트']
351,서울특별시,641,컵밥거리,"서울특별시 동작구 노량진로 170""",37.51338464495574,126.94634070626589,"['캔', '투명 페트']"
352,서울특별시,642,흑석동주민센터,"서울특별시 동작구 흑석동 335-2""",37.505870985188494,126.9666359497881,"['캔', '투명 페트']"
353,서울특별시,643,사당2동주민센터,"서울특별시 동작구 사당동 91-126""",37.4887637747126,126.97933031416004,"['캔', '투명 페트']"
345,서울특별시,635,신내1동 주민센터,"서울특별시 중랑구 신내동 448-1""",37.60601346407447,127.09944757820324,['투명 페트']
15,서울특별시,25,성일초등학교,"서울특별시 강동구 성내로15길 33 성일스포츠센터 앞""",37.5286373,127.1284635,"['캔', '투명 페트']"
156,서울특별시,212,세븐일레븐 역삼 14호점,"서울특별시 강남구 논현로105길 53""",37.5051308145897,127.029984371826,['투명 페트']
606,서울특별시,919,여의동주민센터,"서울특별시 영등포구 여의도동 5-8""",37.51757519386816,126.934675433513,['투명 페트']
105,서울특별시,152,신원동주민센터,"서울특별시 관악구 신원로3길 13""",37.48157075665021,126.9273283767166,"['캔', '투명 페트']"
14,서울특별시,24,강동구청 성안별관,"서울특별시 강동구 성내로3가길 19""",37.530683282893,127.123965277528,"['캔', '투명 페트']"
270,서울특별시,550,신림동 행정복지센터,"서울특별시 관악구 신림동길 14""",37.48741411612327,126.92711749349156,['투명 페트']
269,서울특별시,549,신사동 행정복지센터,"서울특별시 관악구 조원로 142""",37.48540342305692,126.91803729273954,['투명 페트']
552,서울특별시,859,사당5동주민센터 ,"서울특별시 동작구 사당동 산 32-56""",37.48558491391103,126.9669756967508,"['캔', '투명 페트']"
551,서울특별시,858,도림천산책길 ,"서울특별시 동작구 신대방동 702-2""",37.48531857313488,126.90406790173904,"['캔', '투명 페트']"
76,서울특별시,116,상도3동주민센터,"서울특별시 동작구 성대로2길 11""",37.4992040702905,126.931341762113,"['캔', '투명 페트']"
157,서울특별시,213,세븐일레븐 성북두산점,"서울특별시 성북구 화랑로48길 16""",37.61269453385915,127.06877829770444,['투명 페트']
413,서울특별시,711,사당역 7번출구 앞,"서울특별시 동작구 사당동 1043-14""",37.4768684276705,126.98063372044562,"['캔', '투명 페트']"
268,서울특별시,548,미성 경로당,"서울특별시 관악구 난곡로58길 11""",37.480056565652966,126.91572823937652,['투명 페트']
267,서울특별시,547,삼성동 자치회관,"서울특별시 관악구 호암로 520""",37.46412356610055,126.93181130100886,['투명 페트']
266,서울특별시,546,밤골 경로당,"서울특별시 관악구 인헌3가길 8""",37.47392596799778,126.9673821558856,['투명 페트']
265,서울특별시,545,행운동 행정복지센터,"서울특별시 관악구 봉천동 1670-7""",37.48062394863239,126.95712183919466,['투명 페트']
74,서울특별시,114,노량진2동주민센터,"서울특별시 동작구 장승배기로19길 48""",37.5085057900719,126.937359341221,"['캔', '투명 페트']"
421,서울특별시,722,강북구청,"서울특별시 강북구 도봉로89길 13""",37.63958731640999,127.0256853068392,['투명 페트']
422,서울특별시,723,강북문화예술회관,"서울특별시 강북구 삼각산로 85""",37.64052190696967,127.01307508407244,['투명 페트']
75,서울특별시,115,상도4동주민센터,"서울특별시 동작구 양녕로27길 44""",37.49937527396049,126.941401972639,"['캔', '투명 페트']"
553,서울특별시,860,상도1동 주민센터 정문 옆,"서울특별시 동작구 상도동 437""",37.49819887031303,126.95320746717874,"['캔', '투명 페트']"
271,서울특별시,551,은천동 행정복지센터,"서울특별시 관악구 봉천로33나길 30""",37.485375065557456,126.94250514170167,['투명 페트']
274,서울특별시,556,북한산 국립공원 정릉 사무소,"서울특별시 성북구 정릉동 829-5""",37.61826148174032,126.99733819023726,"['캔', '투명 페트']"
554,서울특별시,861,절고개공원,"서울특별시 동작구 상도1동 508-2""",37.50712729312206,126.95185600051563,"['캔', '투명 페트']"
386,서울특별시,680,양평2동행정복지센터,"서울특별시 영등포구 양평동4가 96""",37.53618095206761,126.89432612740916,['투명 페트']
387,서울특별시,681,시립문래청소년센터,"서울특별시 영등포구 문래동3가 73""",37.51868557686548,126.89412739680448,['투명 페트']
388,서울특별시,682,신길4동주민센터,"서울특별시 영등포구 신길동 209-102""",37.5083675665045,126.91144095255513,['투명 페트']
94,서울특별시,140,창5동주민센터,"서울특별시 도봉구 도봉로136나길 20""",37.656304313928885,127.04358528103484,"['캔', '투명 페트']"
402,서울특별시,697,상명대부속여고(포인트 적립 불가),"서울특별시 종로구 홍지문2길 20""",37.60326229319497,126.95388066754424,"['캔', '투명 페트']"
391,서울특별시,685,필동주민센터,"서울특별시 중구 퇴계로36길 42""",37.56017669413463,126.99551805172806,['투명 페트']
392,서울특별시,686,쓰레기연구소 새롬,"서울특별시 중구 퇴계로52길 12""",37.56277834993636,127.00367849454618,['투명 페트']
395,서울특별시,689,신월청소년문화센터,"서울특별시 양천구 신월동 150-3""",37.53533605680068,126.82573445451187,"['캔', '투명 페트']"
390,서울특별시,684,리앤업사이클센터,"서울특별시 강동구 동남로 960""",37.559274813790935,127.15714919552384,['투명 페트']
397,서울특별시,691,양서중학교 담벼락,"서울특별시 양천구 신월동 790""",37.533632086348256,126.8296247870845,"['캔', '투명 페트']"
396,서울특별시,690,신월3동행정복지센터,"서울특별시 양천구 신월동 167-5""",37.533561363800246,126.82900550565778,"['캔', '투명 페트']"
104,서울특별시,151,중앙동주민센터,"서울특별시 관악구 양녕로6다길 7""",37.4841881538571,126.949789748222,"['캔', '투명 페트']"
228,울산광역시,302,대송동 주민센터,"울산광역시 동구 대송5길 10""",35.50324564245772,129.41841630727183,"['캔', '투명 페트']"
142,울산광역시,191,범서초등학교(포인트 적립 불가),"울산광역시 울주군 범서읍 천상1길 7""",35.56465077770222,129.23069535362455,"['캔', '투명 페트']"
524,인천광역시,831,계산3동행정복지센터,"인천광역시 계양구 계산동 480-7""",37.53775609454397,126.7293365837914,['투명 페트']
523,인천광역시,830,방축공영주차장,"인천광역시 계양구 방축동 113""",37.550611251913885,126.73943258275364,['투명 페트']
538,인천광역시,845,녹청자박물관 앞,"인천광역시 서구 경서동 737-9""",37.55842664077727,126.65561444263707,['투명 페트']
537,인천광역시,844,가정1동행정복지센터,"인천광역시 서구 가정동 490-19""",37.521263774991546,126.67585019920874,['투명 페트']
619,인천광역시,937,남촌도림동행정복지센터,"인천광역시 남동구 남촌동로 32""",37.43234338939438,126.71515535048914,['투명 페트']
616,인천광역시,934,구월2동행정복지센터,"인천광역시 남동구 구월동 23-1""",37.45622689074036,126.7132648975749,['투명 페트']
618,인천광역시,936,남동구노인복지관,"인천광역시 남동구 소래로 610""",37.44427082414611,126.73263161840887,['투명 페트']
615,인천광역시,933,간석4동행정복지센터,"인천광역시 남동구 벽돌말로19번길 7""",37.466467175813534,126.70067567016926,['투명 페트']
621,인천광역시,939,홈플러스 인천논현점(B3),"인천광역시 남동구 청능대로 596""",37.40048735803597,126.72536994190342,['투명 페트']
620,인천광역시,938,만수2동행정복지센터,"인천광역시 남동구 만수서로 46""",37.46147913394383,126.73119985419272,['투명 페트']
525,인천광역시,832,거여목체육공원,"인천광역시 계양구 서운동 215""",37.53393605361497,126.75631743956536,['투명 페트']
617,인천광역시,935,구월3동행정복지센터,"인천광역시 남동구 문화서로 84""",37.45273500843664,126.69683127918276,['투명 페트']
0,인천광역시,3,업사이클에코센터,"인천광역시 미추홀구 매소홀로290번길 7""",37.4432153,126.6553661,"['캔', '투명 페트']"
173,인천광역시,229,롯데마트 삼산점 지하1층,"인천광역시 부평구 길주로 623""",37.50770392319799,126.73161100859458,['투명 페트']
138,인천광역시,187,창업·벤처 녹색융합클러스터(사내 전용),"인천광역시 서구 정서진로 410""",37.56866075550926,126.64698674809536,"['캔', '투명 페트']"
106,인천광역시,153,계양고등학교(포인트 적립 불가),"인천광역시 계양구 계양문화로 177""",37.5419168272076,126.743844678586,"['캔', '투명 페트']"
288,인천광역시,573,오류왕길동행정복지센터,"인천광역시 서구 왕길동 692-5""",37.59697514836457,126.63744653831472,['투명 페트']
289,인천광역시,574,검단동행정복지센터,"인천광역시 서구 검단로529번길 14""",37.60496437366952,126.6616286374612,['투명 페트']
290,인천광역시,575,검단동노인복지관,"인천광역시 서구 검단로502번길 15-1""",37.60214232468423,126.660944971803,['투명 페트']
171,인천광역시,227,롯데마트 부평점 1층,"인천광역시 부평구 마장로 296""",37.50499825799793,126.70409293323978,['투명 페트']
169,인천광역시,225,롯데마트 검단점 1층,"인천광역시 서구 원당대로 581""",37.5945702184535,126.664496884957,['투명 페트']
161,인천광역시,217,롯데마트 연수점 1층,"인천광역시 연수구 청능대로 87""",37.415082706966125,126.6751674409779,['투명 페트']
291,인천광역시,576,당하동행정복지센터,"인천광역시 서구 당하동 1097-4""",37.59207593280658,126.6745072752199,['투명 페트']
292,인천광역시,577,인천서구국민체육센터 ,"인천광역시 서구 검암동 496""",37.56643944177348,126.67822677386314,['투명 페트']
380,인천광역시,671,이마트 계양점,"인천광역시 계양구 작전동 941""",37.53077194346032,126.73668170626765,['투명 페트']
500,인천광역시,806,인천외국어고등학교(포인트 적립 불가),"인천광역시 부평구 원적로 262""",37.50289535927369,126.69472577485756,"['캔', '투명 페트']"
293,인천광역시,578,검암경서동 행정복지센터,"인천광역시 서구 승학로 480""",37.56437913577151,126.67356386715706,['투명 페트']
499,인천광역시,805,동산중학교,"인천광역시 동구 동산로 58""",37.4735288190937,126.64758502192672,"['캔', '투명 페트']"
295,인천광역시,580,연희동행정복지센터,"인천광역시 서구 연희동 723""",37.54909613450352,126.67852767056696,['투명 페트']
296,인천광역시,581,석남2동행정복지센터,"인천광역시 서구 거북로 116""",37.50253323489809,126.67467020670443,['투명 페트']
297,인천광역시,582,석남1동행정복지센터,"인천광역시 서구 석남동 465-3""",37.51116456822883,126.67457619448815,['투명 페트']
298,인천광역시,583,신현원창동 행정복지센터,"인천광역시 서구 신현동 294""",37.51469006721946,126.6722534162482,['투명 페트']
299,인천광역시,584,인천서구청소년센터,"인천광역시 서구 원창로 92""",37.517518365640434,126.65922144693242,['투명 페트']
210,인천광역시,284,시민협력플랫폼,"인천광역시 미추홀구 구월남로 20""",37.45468282418354,126.69223476739752,"['캔', '투명 페트']"
301,인천광역시,586,청라3동행정복지센터,"인천광역시 서구 청라한내로 89""",37.533453993169815,126.6269183232643,['투명 페트']
294,인천광역시,579,인천서구청,"인천광역시 서구 서곶로 307""",37.54509898514062,126.67642596627168,['투명 페트']
300,인천광역시,585,청라문화센터,"인천광역시 서구 청라동 106-2""",37.52469196300186,126.6341709330132,['투명 페트']
303,인천광역시,588,검단복지회관,"인천광역시 서구 완정로92번길 18""",37.60071999105664,126.66611523441192,['투명 페트']
160,인천광역시,216,롯데마트 계양점 지하2층,"인천광역시 계양구 장제로 822""",37.540891012389686,126.73605773826154,['투명 페트']
302,인천광역시,587,청라1동행정복지센터,"인천광역시 서구 청라동 165-5""",37.5325383483781,126.65391764772131,['투명 페트']
209,인천광역시,283,용현5동 행정복지센터,"인천광역시 미추홀구 토금북로 60""",37.45256784141033,126.64042483352392,"['캔', '투명 페트']"
245,전라남도,520,한전KDN 본관 2층 강당 앞,"전라남도 나주시 빛가람로 661""",35.02225363129143,126.78421553810824,"['캔', '투명 페트']"
238,전라남도,314,청춘공작소,"전라남도 곡성군 곡성읍 읍내리 98-2""",35.282454268423706,127.3017279567209,['캔']
237,전라남도,313,대명해피니스,"전라남도 곡성군 곡성읍 학정리 526-2""",35.28619044837686,127.28874571662746,['투명 페트']
242,전라남도,517,한양파크빌,"전라남도 곡성군 곡성읍 학정리 535-19""",35.28480263082249,127.29052707041345,['투명 페트']
251,전라남도,526,문화건강센터 수영장 주차장 입구 ,"전라남도 순천시 환선로 133""",34.967477601325335,127.48662653345131,"['캔', '투명 페트']"
46,전라남도,78,소호요트경기장,전라남도 여수시 소호동,34.7387836,127.650754,"['캔', '투명 페트']"
253,전라남도,528,풍덕공원 왕가네 가게 앞 ,"전라남도 순천시 풍덕동 1287""",34.93990259367872,127.49819516040812,"['캔', '투명 페트']"
254,전라남도,529,오천동 공용화장실 앞 ,"전라남도 순천시 오천동 1025""",34.93504652566285,127.49374927218172,"['캔', '투명 페트']"
255,전라남도,530,연향 제1근린공원 화장실 근처 ,"전라남도 순천시 연향번영길 93""",34.94928081220288,127.51721829787584,"['캔', '투명 페트']"
256,전라남도,531,신대스포츠센터 주차장 앞 보도 ,"전라남도 순천시 해룡면 매안로 138""",34.93659893727812,127.55043281779837,"['캔', '투명 페트']"
45,전라남도,77,선원공원,"전라남도 여수시 무선 7길""",34.773792,127.6510397,"['캔', '투명 페트']"
98,전라남도,145,순천시 재활용도움센터,"전라남도 순천시 백연길 111""",34.9521043667346,127.533271804087,"['캔', '투명 페트']"
19,전라남도,30,거북선공원,"전라남도 여수시 선소로 93 전기차충전소 뒷편""",34.7617408,127.6676801,"['캔', '투명 페트']"
18,전라남도,29,여수시청,"전라남도 여수시 시청동1길 30""",34.759437,127.6633282,"['캔', '투명 페트']"
16,전라남도,27,해양공원,"전라남도 여수시 종화동 526-7""",34.73879483707378,127.74533819188586,"['캔', '투명 페트']"
252,전라남도,527,조곡동 행정복지센터 입구 ,"전라남도 순천시 자경1길 13""",34.95002791866786,127.4986039935253,"['캔', '투명 페트']"
96,전라남도,142,순천만 국가정원 지구동문,"전라남도 순천시 국가정원1호길 152-55""",34.9290883462236,127.509372763127,"['캔', '투명 페트']"
365,전라남도,655,목포 어울림도서관 인도,"전라남도 목포시 용해동 1006""",34.81708526580876,126.39569486133306,['투명 페트']
362,전라남도,652,평화광장 평화매점 앞,"전라남도 목포시 상동 1157""",34.79593644667498,126.43223086709756,['투명 페트']
50,전라남도,82,미평클린하우스,"전라남도 여수시 미평11길 6""",34.769304,127.705117,"['캔', '투명 페트']"
49,전라남도,81,서강동주민센터,"전라남도 여수시 서교1길 28 서강동주민자치센터""",34.7411441,127.7258934,"['캔', '투명 페트']"
