idx,name,address,latitude,longitude,is_shown_user,input_wastes,devices,display_devices,reg_at,region_1,region_2,image_url
75,광양읍사무소,"전라남도 광양시 광양읍 남등길 6 광양읍사무소""",34.9733971,127.5810568,true,[],[],[],2020-01-14 06:11:51,,,
77,선원공원,"전라남도 여수시 무선 7길""",34.773792,127.6510397,true,[],[],[],2020-05-01 02:51:04,,,
78,소호요트경기장,전라남도 여수시 소호동,34.7387836,127.650754,true,[],[],[],2020-05-01 02:51:39,,,
79,미평공원,전라남도 여수시 미평동,34.7679181,127.7033991,true,[],[],[],2020-05-01 02:52:29,,,
80,웅천친수공원,전라남도 여수시 예울마루로 37-40,34.747301,127.6680462,true,[],[],[],2020-05-01 02:53:21,,,
81,서강동주민센터,"전라남도 여수시 서교1길 28 서강동주민자치센터""",34.7411441,127.7258934,true,[],[],[],2020-05-01 02:54:48,,,
82,미평클린하우스,"전라남도 여수시 미평11길 6""",34.769304,127.705117,true,[],[],[],2020-05-01 02:56:26,,,
83,한림대,"강원특별자치도 춘천시 한림대학길 1""",37.886586,127.7401306,true,[],[],[],2020-06-12 00:04:53,,,
84,석사공원,"강원특별자치도 춘천시 석사동 731""",37.8665881,127.7544093,true,[],[],[],2020-06-12 00:05:19,,,
85,연지공원,"경상남도 김해시 금관대로1368번길 9""",35.2446931,128.8698703,true,[],[],[],2020-06-12 00:05:39,,,
87,고창실내체육관,"전라북도 고창군 고창읍 55-2""",35.4354939,126.7067707,true,[],[],[],2020-06-12 00:06:56,,,
88,강남동행정복지관,"강원특별자치도 춘천시 온의동 6-37""",37.8680384,127.7193904,true,[],[],[],2020-06-12 00:07:55,,,
89,신북읍행정복지센터,"강원특별자치도 춘천시 신북읍 율문길 75""",37.9258827,127.7462326,true,[],[],[],2020-06-12 00:08:19,,,
90,평생학습관,"강원특별자치도 삼척시 청석로3길 16-41""",37.4490586,129.178091,true,[],[],[],2020-06-12 00:09:15,,,
91,정라동행정복지센터,"강원특별자치도 삼척시 새천년도로 16""",37.4360724,129.1845269,true,[],[],[],2020-06-12 00:09:53,,,
92,삼척시청별관주차장,"강원특별자치도 삼척시 교동 695""",37.4489282,129.1642743,true,[],[],[],2020-06-12 00:10:15,,,
93,홈플러스삼척점,"강원특별자치도 삼척시 중앙로 258 홈플러스""",37.4464341,129.1683278,true,[],[],[],2020-06-12 00:10:31,,,
94,성내동행정복지센터,"강원특별자치도 삼척시 대학로 57""",37.44621529598136,129.1629287958522,true,[],[],[],2020-06-12 00:11:08,,,
95,남양동행정복지센터,"강원특별자치도 삼척시 남양길 11""",37.4425644575852,129.168465969137,true,[],[],[],2020-06-12 00:11:29,,,
96,암사유적지,"서울특별시 강동구 올림픽로 875""",37.5605464139303,127.130257802123,true,[],[],[],2020-06-12 00:11:55,,,
97,다산동주민센터,"서울특별시 중구 동호로15길 50 다산동주민센터""",37.5542871,127.0082443,true,[],[],[],2020-06-12 00:13:43,,,
98,화정2동주민센터,"광주광역시 서구 화운로 94 유니버시아드 힐스테이트 1단지""",35.1465822,126.8821979,true,[],[],[],2020-06-12 00:14:02,,,
99,푸른길광장,"광주광역시 남구 주월동 941-203""",35.1260653,126.896671,true,[],[],[],2020-06-12 00:14:17,,,
102,오동도,전라남도 여수시 오동도로 242,34.7452359,127.7660166,true,[],[],[],2020-06-12 00:15:53,,,
103,소리공원,"서울특별시 송파구 문정동 319-1""",37.482558504171045,127.1208830385275,true,[],[],[],2020-06-12 00:16:12,,,
104,석촌호수수변무대,"서울특별시 송파구 석촌호수로 191""",37.50676071911722,127.09819020139696,true,[],[],[],2020-12-21 09:40:45,,,
108,목3동행정복지센터 정문 옆,"서울특별시 양천구 목동중앙남로16나길 55""",37.5447333646598,126.864455859678,true,[],[],[],2020-12-21 09:43:10,,,
110,강동구민회관,"서울특별시 강동구 상암로 168""",37.54574669110065,127.14118014203883,true,[],[],[],2021-02-10 00:56:32,,,
111,군포국민체육센터,"경기도 군포시 군포로 339""",37.33859957172142,126.9365787609812,true,[],[],[],2021-03-03 02:34:24,,,
112,김천시청,"경상북도 김천시 시청1길 1""",36.1398881671927,128.113624475917,true,[],[],[],2021-03-03 02:34:59,,,
114,노량진2동주민센터,"서울특별시 동작구 장승배기로19길 48""",37.5085057900719,126.937359341221,true,[],[],[],2021-03-03 02:36:49,,,
115,상도4동주민센터,"서울특별시 동작구 양녕로27길 44""",37.49937527396049,126.941401972639,true,[],[],[],2021-03-03 02:37:08,,,
116,상도3동주민센터,"서울특별시 동작구 성대로2길 11""",37.4992040702905,126.931341762113,true,[],[],[],2021-03-03 02:37:27,,,
119,수변공원,"전라남도 여수시 어항단지로 147""",34.72853199496777,127.72335805574248,true,[],[],[],2021-04-06 04:36:12,,,
120,차동공원,"전라남도 여수시 소라면 죽림리 1140""",34.76522118451785,127.63744135891804,true,[],[],[],2021-04-06 06:22:52,,,
121,박수근광장,"강원특별자치도 양구군 양구읍 상리 206-64""",38.1042428757915,127.987807043667,true,[],[],[],2021-04-06 06:41:38,,,
122,원주시청 어린이집 맞은편 야외화장실 옆,"강원특별자치도 원주시 무실동 1""",37.33976658303866,127.91878003912272,true,[],[],[],2021-04-06 06:42:19,,,
123,원주시립중앙도서관,"강원특별자치도 원주시 단구동 1703""",37.32609820598522,127.953535566865,true,[],[],[],2021-04-06 06:42:37,,,
124,젊음의광장,"강원특별자치도 원주시 단구로 170""",37.33541814369496,127.94663483283344,true,[],[],[],2021-04-15 00:15:29,,,
125,기후변화홍보관,"강원특별자치도 원주시 행구동 1029""",37.34261439191699,127.99660435694028,true,[],[],[],2021-04-15 00:16:17,,,
127,자원순환교실,"강원특별자치도 삼척시 미로면 강원남부로 3920""",37.411284842501225,129.10683370545314,true,[],[],[],2021-05-03 04:31:14,,,
128,군위 동부 제1호 어린이공원,"대구광역시 군위군 군위읍 동부리 376-3""",36.23777645311623,128.5707875563465,true,[],[],[],2021-05-24 05:54:28,,,
129,LH천년나무아파트,"대구광역시 군위군 군위읍 동산새길 50""",36.231854277857465,128.5688783761987,true,[],[],[],2021-05-24 05:54:44,,,
131,남원읍사무소,"제주특별자치도 서귀포시 남원읍 태위로 695""",33.279884789306365,126.72066566768896,true,[],[],[],2021-05-24 08:44:37,,,
132,조천읍사무소,"제주특별자치도 제주시 조천읍 신북로 194""",33.53440130090102,126.63413223748915,true,[],[],[],2021-05-24 08:44:58,,,
134,석사동행정복지센터,"강원특별자치도 춘천시 후석로 48""",37.85852767425313,127.74235406232064,true,[],[],[],2021-06-14 07:36:29,,,
135,후평3동행정복지센터,"강원특별자치도 춘천시 후만로 83""",37.87651827786371,127.7538517493855,true,[],[],[],2021-06-14 07:36:52,,,
136,소양동행정복지센터,"강원특별자치도 춘천시 금강로 17""",37.8822401631646,127.724715265465,true,[],[],[],2021-06-14 07:45:18,,,
137,근화동행정복지센터,"강원특별자치도 춘천시 영서로 2487""",37.88071481861263,127.71217875808208,true,[],[],[],2021-06-14 07:45:35,,,
138,퇴계동행정복지센터,"강원특별자치도 춘천시 퇴계로 46""",37.864489878019,127.726200566684,true,[],[],[],2021-06-14 07:45:53,,,
140,창5동주민센터,"서울특별시 도봉구 도봉로136나길 20""",37.656304313928885,127.04358528103484,true,[],[],[],2021-06-25 06:51:33,,,
141,순천업사이클센터더새롬,"전라남도 순천시 팔마1길 9-19""",34.9324564123273,127.512681515524,true,[],[],[],2021-07-08 01:28:50,,,
142,순천만 국가정원 지구동문,"전라남도 순천시 국가정원1호길 152-55""",34.9290883462236,127.509372763127,true,[],[],[],2021-07-08 02:46:48,,,
143,[기부형] 대청댐 물문화관,"대전광역시 대덕구 대청로 618-136""",36.4744377880216,127.481556455353,true,[],[],[],2021-07-09 05:11:47,,,
145,순천시 재활용도움센터,"전라남도 순천시 백연길 111""",34.9521043667346,127.533271804087,true,[],[],[],2021-07-09 07:32:06,,,
146,성산스포츠파크,"경상남도 창원시 성산구 중앙동 1""",35.2343556762819,128.6668468398334,true,[],[],[],2021-07-21 02:14:34,,,
147,의창스포츠센터,"경상남도 창원시 의창구 도계동 467""",35.2564835183925,128.63393178372783,true,[],[],[],2021-07-22 23:07:37,,,
148,마산야구장,"경상남도 창원시 마산합포구 산호동 31-2""",35.220522780675815,128.58252670985718,true,[],[],[],2021-07-22 23:08:34,,,
149,합포스포츠센터,"경상남도 창원시 마산합포구 드림베이대로 56""",35.1765942142606,128.567454571877,true,[],[],[],2021-07-22 23:09:20,,,
150,진해루,"경상남도 창원시 진해구 경화동 1007-15""",35.146952866270915,128.6829554686016,true,[],[],[],2021-07-22 23:10:06,,,
151,중앙동주민센터,"서울특별시 관악구 양녕로6다길 7""",37.4841881538571,126.949789748222,true,[],[],[],2021-07-22 23:10:41,,,
152,신원동주민센터,"서울특별시 관악구 신원로3길 13""",37.48157075665021,126.9273283767166,true,[],[],[],2021-07-22 23:11:04,,,
153,계양고등학교(포인트 적립 불가),"인천광역시 계양구 계양문화로 177""",37.5419168272076,126.743844678586,true,[],[],[],2021-07-26 00:26:17,,,
154,중앙공원 인라인스케이트장,"경기도 안양시 동안구 시민대로 지하 238""",37.39208134050094,126.95771437376142,true,[],[],[],2021-07-26 05:20:54,,,
155,중앙공원 관리사무소,"경기도 안양시 동안구 평촌동 895""",37.39055525537293,126.9610578110261,true,[],[],[],2021-07-26 05:21:32,,,
156,중앙공원 음수대,"경기도 안양시 동안구 평촌동 895""",37.38946413010487,126.9584498456565,true,[],[],[],2021-07-26 05:22:05,,,
157,중앙공원 화장실,"경기도 안양시 동안구 평촌동 895""",37.38921153298837,126.95757483191429,true,[],[],[],2021-07-26 05:22:25,,,
158,동안청소년수련관,"경기도 안양시 동안구 비산동 1126""",37.39167241727149,126.94894020072968,true,[],[],[],2021-07-26 05:22:39,,,
159,평촌미관광장,"경기도 안양시 동안구 관양동 1608-1""",37.394214217439306,126.96360250079702,true,[],[],[],2021-07-26 05:23:06,,,
160,종합운동장 빙상장 입구,"경기도 안양시 동안구 평촌대로 389""",37.40423488688662,126.94888367568242,true,[],[],[],2021-07-26 05:23:29,,,
161,안양시청,"경기도 안양시 동안구 관양동 1590""",37.39446646506174,126.95679547062086,true,[],[],[],2021-07-26 05:23:44,,,
162,어린이교통공원,"경기도 안양시 동안구 호계동 1112""",37.37987183489852,126.96250292529076,true,[],[],[],2021-07-26 05:24:01,,,
163,석수역,"경기도 안양시 만안구 석수동 424-1""",37.43361467664962,126.90214531101353,true,[],[],[],2021-07-26 05:24:23,,,
164,신기어린이공원,"경기도 안양시 동안구 동안로 26""",37.38194922989505,126.95742649219494,true,[],[],[],2021-07-26 05:30:32,,,
165,관악역,"경기도 안양시 만안구 석수동 104-240""",37.41905757584296,126.90914566225425,true,[],[],[],2021-08-05 07:22:27,,,
166,안양3동 행정복지센터,"경기도 안양시 만안구 안양동 1195-1""",37.39602501251548,126.9148765968536,true,[],[],[],2021-08-05 07:23:17,,,
167,명학공원,"경기도 안양시 만안구 안양동 572""",37.384124835573424,126.9324483863033,true,[],[],[],2021-08-05 07:23:32,,,
168,박달2동 행정복지센터,"경기도 안양시 만안구 박달동 141-2""",37.40216897496318,126.90470483161654,true,[],[],[],2021-08-05 07:24:15,,,
169,만안종합사회복지관,"경기도 안양시 만안구 박달로 547-1""",37.40278170542497,126.91354469386242,true,[],[],[],2021-08-05 07:25:09,,,
170,병목안캠핑장,"경기도 안양시 만안구 병목안로247번길 37""",37.38255350537487,126.9101861786949,true,[],[],[],2021-08-05 07:25:43,,,
171,호계3동 공영주차장,"경기도 안양시 동안구 호계동 966-46""",37.368741822822656,126.95570670406744,true,[],[],[],2021-08-05 07:29:33,,,
172,냉천어린이공원,"경기도 안양시 만안구 안양동 627-311""",37.39504795957643,126.9222239101574,true,[],[],[],2021-08-05 07:29:45,,,
175,세븐일레븐 이태원중앙점,"서울특별시 용산구 회나무로26길 3""",37.5395346124592,126.991708419033,true,[],[],[],2021-09-03 01:35:52,,,
176,관저다목적체육관,"대전광역시 서구 관저동 1583""",36.29239887187206,127.33643056344674,true,[],[],[],2021-09-15 03:59:48,,,
177,가수원 행정복지센터,"대전광역시 서구 가수원로 105""",36.3035860454738,127.34935752434198,true,[],[],[],2021-09-15 04:00:30,,,
178,복수동행정복지센터,"대전광역시 서구 복수동 614""",36.29987565909405,127.37887171961302,true,[],[],[],2021-09-15 04:01:09,,,
179,유등노인복지관,"대전광역시 서구 도마동 413-3""",36.32714179464708,127.37428992050116,true,[],[],[],2021-09-15 04:01:48,,,
180,용문동 행정복지센터,"대전광역시 서구 용문동 589-7""",36.339144000449664,127.39162632890093,true,[],[],[],2021-09-15 04:02:24,,,
181,서구청,"대전광역시 서구 둔산동 1300""",36.35544032040138,127.38443561145569,true,[],[],[],2021-09-15 04:02:55,,,
182,갈마공원,"대전광역시 서구 갈마동 820""",36.35526460107271,127.37378111787004,true,[],[],[],2021-09-15 04:03:30,,,
183,제주청년몰,"제주특별자치도 제주시 동문로4길 9""",33.5120876972929,126.528240434782,true,[],[],[],2021-09-29 05:35:27,,,
184,갈마1동행정복지센터,"대전광역시 서구 갈마동 316-3""",36.3508442575242,127.36800038740952,true,[],[],[],2021-09-29 05:37:14,,,
185,송파구새활용센터,"서울특별시 송파구 문정로 246""",37.49989911076753,127.1420131938712,true,[],[],[],2021-09-29 05:37:51,,,
186,이마트 명일점,"서울특별시 강동구 고덕로 276""",37.5546046874526,127.155987297642,true,[],[],[],2021-10-15 01:58:28,,,
187,창업·벤처 녹색융합클러스터(사내 전용),"인천광역시 서구 정서진로 410""",37.56866075550926,126.64698674809536,true,[],[],[],2021-10-15 01:59:24,,,
188,원동12어린이공원,"경상북도 포항시 남구 오천읍 원리 919""",35.968807066679005,129.40656880288145,true,[],[],[],2021-10-15 01:59:37,,,
189,원동13어린이공원,"경상북도 포항시 남구 오천읍 원리 903-4""",35.9695139324668,129.40872109264205,true,[],[],[],2021-10-15 02:00:03,,,
190,문덕8공원,"경상북도 포항시 남구 오천읍 문덕리 197-1""",35.96420640383601,129.40404075615228,true,[],[],[],2021-10-15 02:00:27,,,
