dmX,stationName,dmY
37.580167,홍릉로,127.044856
37.606667,성북구,127.027264
37.603593,정릉로,127.026007
37.654278,도봉구,127.029333
37.6104714,은평구,126.9335038
37.593749,서대문구,126.949534
37.55561,마포구,126.905457
37.554936,신촌로,126.937619
37.544656,강서구,126.835094
37.562821,공항대로,126.826071
37.498498,구로구,126.889692
37.526339,영등포구,126.896256
37.520222,영등포로,126.904967
37.480989,동작구,126.971547
37.489495,동작대로 중앙차로,126.982489
37.488242,관악구,126.927089
37.5175623,강남구,127.0472893
37.504547,서초구,126.994611
37.516083,도산대로,127.019694
37.482867,강남대로,127.035621
37.502685,송파구,127.092385
37.545089,강동구,127.136806
37.534035,천호대로,127.139172
37.452386,금천구,126.908333
37.474899,시흥대로,126.898657
37.64793,강북구,127.011952
37.523286,양천구,126.858689
37.657415,노원구,127.067876
37.617315,화랑로,127.07512
37.283798,신풍동,127.010472
37.26334,인계동,127.02863
37.29083,광교동,127.064092
37.246927,영통동,127.056315
37.284067,천천동,126.979892
37.2778,경수대로(동수원),127.0306
37.252226,고색동,126.976304
37.26894,호매실,126.93609
37.3825762,대왕판교로(백현동),127.1027442
37.449479,단대동,127.155512
37.36078,정자동,127.11933
37.382662,수내동,127.119103
37.4339,성남대로(모란역),127.1293
37.4563598,복정동,127.1304652
37.390588,운중동,127.077838
37.433169,상대원동,127.164372
37.735582,의정부동,127.040421
37.746355,의정부1동,127.047652
37.7481,송산3동,127.106
37.384904,안양8동,126.931247
37.394327,부림동,126.956859
37.367722,호계3동,126.958989
37.4051,안양2동,126.9178
37.476221,철산동,126.86981
37.452158,소하동,126.884909
37.3221,고잔동,126.8305
37.305255,원시동,126.788503
37.289237,본오동,126.864488
37.336667,원곡동,126.794167
37.332,부곡동1,126.8611
37.2437,대부동,126.5854
37.304889,호수동,126.833521
37.316703,중앙대로(고잔동),126.82792
37.423889,별양동,126.994512
37.448806,과천동,127.002329
37.594755,교문동,127.130141
37.6187,동구동,127.1383
37.320048,부곡3동,126.948907
37.3442,고천동,126.969
37.3468,정왕동,126.7401
37.3367,시화산단,126.7246
37.4431,대야동,126.7884
37.3857,목감동,126.8619
37.3801,장현동,126.8041
37.354651,서해안로,126.709878
37.373823,배곧동,126.73289
37.6356,금곡동,127.2162
37.698672,오남읍,127.204729
37.652924,별내동,127.11586
37.657822,화도읍,127.300702
37.609158,경춘로,127.163109
37.580842,와부읍,127.226766
37.72627,진접읍,127.189881
36.9913,비전동,127.1126
36.9859,안중,126.9314
36.974605,평택항,126.84554
37.081564,송북동,127.060117
37.0204,청북읍,126.9182
37.05311,고덕동,127.046172
37.756308,금촌동,126.773898
37.723148,운정,126.756434
37.906227,파주,126.73108
37.8309,파주읍,126.833
37.6251,행신동,126.8423
37.685514,식사동,126.813441
37.6545086,백마로(마두역),126.7755571
37.666362,신원동,126.886708
37.6683,주엽동,126.7564
37.4112,경안동,127.2579
37.36615,오포1동,127.22856
37.350901,곤지암,127.352363
37.2345,김량장동,127.2014
37.327927,수지,127.095215
37.280224,기흥,127.11514
37.275324,중부대로(구갈동),127.113744
37.329538,모현읍,127.242271
37.1410264,이동읍,127.1960051
37.1633559,백암면,127.3747489
37.138467,설성면,127.54645
37.2837,창전동,127.441
37.1146,장호원읍,127.6297
37.2832583,부발읍,127.4866839
38.123833,관인면,127.25235
37.8535,선단동,127.1592
37.9613,일동면,127.3171
37.619335,사우동,126.716748
37.606724,고촌읍,126.762831
37.7151,월곶면,126.5526
37.6532578,한강신도시,126.6292725
37.649034,한강로,126.675064
37.3536806,당동,126.9449892
37.3612,산본동,126.9362
37.1591,오산동,127.0771
37.1710811,금암로(신장동),127.052049
37.539109,신장동,127.214608
37.567014,미사,127.186023
37.211479,남양읍,126.824001
37.132356,향남읍,126.920186
37.196921,동탄,127.0723
37.0898105,우정읍,126.8152695
37.1965,청계동,127.1194
37.2814,새솔동,126.8188
37.219282,봉담읍,126.949062
37.166203,서신면,126.708965
37.79239,백석읍,126.987168
37.7919,고읍,127.0847
37.917603,보산동,127.061291
37.007863,봉산동,127.279856
37.0010225,공도읍,127.1724925
37.0746,죽산면,127.4244
37.298663,중앙동(경기),127.628936
37.3715,대신면,127.5845
37.201739,가남읍,127.545135
38.0964,연천,127.0763
38.013429,전곡,127.034161
37.831217,가평,127.509769
37.676245,설악면,127.494701
37.484357,용문면,127.598367
37.496975,양평읍,127.486659
38.129569,연천(DMZ),126.973711
37.8753695,중앙로,127.7202223
37.8569773,석사동,127.7500616
37.905689,신사우동,127.72601
37.865638,온의동,127.718551
38.224433,방산면,127.958583
38.1092365,양구읍,127.9894679
37.489817,동해항,129.123223
37.547875,묵호항,129.110927
37.174954,호산항,129.342184
37.433297,삼척항,129.190496
38.290859,철원(DMZ),127.179801
38.247827,화천(DMZ),127.79066
38.389557,인제(DMZ),128.248144
38.566511,고성(DMZ),128.280252
35.099849,광복동,129.030344
35.127142,초량동,129.046701
37.70805,석모리,126.28135
37.233041,덕적도,126.149272
37.938413,백령도,124.645669
37.255942,영흥,126.483536
37.652788,연평도,125.652904
37.033578,울도,125.996225
36.993588,독곶리,126.358971
36.780177,동문동,126.455459
36.937966,대산리,126.43394
36.839,성연면,126.46087
36.976453,송산면,126.716298
36.889977,당진시청사,126.645799
36.790498,합덕읍,126.785915
36.944347,복운리,126.783615
36.782917,모종동,127.0145
36.7738,배방읍,127.053851
36.762488,도고면,126.888729
36.914275,둔포면,127.059597
36.873396,인주면,126.87978
36.784325,장재리,127.099992
36.731582,송악면,127.008906
36.199272,논산,127.086981
36.125022,연무읍,127.096762
36.215998,성동면,127.043263
36.736316,파도리,126.132168
36.869739,이원면,126.280761
36.746709,태안읍,126.301512
36.62614,격렬비열도,125.5579
36.824238,원북면,126.25722
36.687115,예산군,126.832093
36.688131,삽교읍,126.739314
36.759735,고덕면(충남),126.732312
36.353251,대천2동,126.589768
36.390845,주교면,126.569444
36.229272,외연도,126.080791
36.597702,홍성읍,126.655133
36.6529558,내포,126.6677018
36.107179,금산읍,127.490685
36.455152,청양읍,126.804931
36.41488,정산면,126.94505
36.286987,엄사면,127.237919
36.968401,평택당진항,126.821682
37.012575,대산항,126.426621
36.00799,장항항,126.690312
36.98556,평택당진항(당진항),126.746821
36.898586,태안항,126.239162
36.401527,보령항,126.487455
36.592906,신흥동,127.292253
36.51212,아름동,127.24643
36.474172,한솔동,127.252529
36.527029,부강면,127.370516
36.479917,보람동,127.292417
36.68121,전의면,127.19634
37.3528063,중앙동(강원),127.9475408
37.335732,반곡동(명륜동),127.976971
37.3125964,문막읍,127.8171686
37.371944,지정면,127.875
37.8936111111,주문진읍,128.8227777778
37.7601328,옥천동,128.9028489
37.785132,초당동,128.908776
37.5247935,천곡동,129.1140452
37.4425401,남양동1,129.168344
37.3607189,평창읍,128.3889413
37.43005,북평면,128.664717
37.3797566,정선읍,128.6611257
38.285319,간성읍,128.390769
37.360494,치악산,128.12555
37.4898188,횡성읍,127.9828934
38.3807542,상리,128.4635415
38.0752566,양양읍,128.6181141
38.2068718,금호동,128.5881299
38.1466058,갈말읍,127.3124628
37.6837538,홍천읍,127.8800359
37.1725568,영월읍,128.4551652
38.1063175,화천읍,127.7080039
37.1626445,황지동,128.9867779
38.0601472,인제읍,128.1665652
37.459,우천면,128.063
36.964567,호암동,127.926158
36.982086,칠금동,127.919206
37.010228,중앙탑면,127.81517
36.905231,살미면,127.964141
37.145137,장락동,128.220664
37.125508,영천동,128.198426
37,청풍면,128.1675
36.713311,오창읍,127.420517
36.6132262,산남동,127.4686138
36.6313584,오송읍,127.3294723
36.550344,가덕면,127.550333
37.0334,매포읍,128.2957
36.93885,단성면,128.32028
36.987924,단양읍,128.364813
36.730926,청천면,127.804682
36.8075573,괴산읍,127.789237
36.166203,감물면,127.875173
36.8550153,진천읍,127.4413124
36.904796,덕산읍,127.544593
36.994135,금왕,127.604512
36.928577,음성읍,127.6886158
36.923449,소이면,127.75545
36.172773,영동읍,127.777839
36.229445,황간면,127.913258
36.813261,도안면,127.615808
36.767778,증평읍,127.605
36.484771,보은읍,127.729903
